word,category_id,sentiment
voice_acting,3,None
voters,1,none
voting,1,None
wage,1,none
wagging,5,
Walmart,5,None
warmongering,1,none
warmup,4,None
warrior,3,neutral
watch,3,None 
watching,3,None
Wattage,2,None
wearable,4,neutral
Weight,4,None
weights,4,None 
welcome,3,None
well_being,4,none
wellbeing,4,none
wellness,4,None
whiskers,5,neutral
white_house,1,None
wifi,2,None
Wings,5,Neutral
workforce,1,
workload,2,None
world_leaders,1,None
Worsens,None,Negative
worship ,3,neutral
writer,3,None
XGBoost,2,none
yard,5,none
zoomies,5,None
